experiment_type,conditions,results,gene_id,publication_id
Proteomics,"{""temperature"": ""28\u00b0C"", ""ph"": 6.0, ""time"": ""36h""}","{""measurement"": 75.48, ""p_value"": 0.0325, ""fold_change"": 1.03}",477,142
Proteomics,"{""temperature"": ""32\u00b0C"", ""ph"": 7.2, ""time"": ""3h""}","{""measurement"": 92.42, ""p_value"": 0.0083, ""fold_change"": 4.85}",547,493
WES,"{""temperature"": ""34\u00b0C"", ""ph"": 7.4, ""time"": ""31h""}","{""measurement"": 10.47, ""p_value"": 0.0025, ""fold_change"": -4.3}",51,169
RNA-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 6.8, ""time"": ""28h""}","{""measurement"": 74.84, ""p_value"": 0.0422, ""fold_change"": -3.29}",873,68
Microarray,"{""temperature"": ""30\u00b0C"", ""ph"": 6.9, ""time"": ""17h""}","{""measurement"": 61.52, ""p_value"": 0.0132, ""fold_change"": 1.25}",686,47
WGS,"{""temperature"": ""35\u00b0C"", ""ph"": 6.6, ""time"": ""42h""}","{""measurement"": 19.58, ""p_value"": 0.0392, ""fold_change"": 4.12}",2,439
Microarray,"{""temperature"": ""26\u00b0C"", ""ph"": 7.5, ""time"": ""47h""}","{""measurement"": 38.69, ""p_value"": 0.028, ""fold_change"": -1.93}",53,250
Microarray,"{""temperature"": ""34\u00b0C"", ""ph"": 7.6, ""time"": ""42h""}","{""measurement"": 72.76, ""p_value"": 0.0148, ""fold_change"": -0.27}",814,457
Metabolomics,"{""temperature"": ""34\u00b0C"", ""ph"": 7.3, ""time"": ""10h""}","{""measurement"": 45.97, ""p_value"": 0.0419, ""fold_change"": -3.8}",651,192
WGS,"{""temperature"": ""37\u00b0C"", ""ph"": 6.4, ""time"": ""42h""}","{""measurement"": 72.71, ""p_value"": 0.0387, ""fold_change"": 1.76}",239,428
WES,"{""temperature"": ""29\u00b0C"", ""ph"": 7.5, ""time"": ""18h""}","{""measurement"": 5.77, ""p_value"": 0.0128, ""fold_change"": -4.39}",734,372
RNA-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 7.9, ""time"": ""27h""}","{""measurement"": 27.29, ""p_value"": 0.0115, ""fold_change"": -0.72}",777,198
RNA-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 6.2, ""time"": ""30h""}","{""measurement"": 31.15, ""p_value"": 0.0456, ""fold_change"": 2.8}",721,110
ATAC-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 7.1, ""time"": ""24h""}","{""measurement"": 42.39, ""p_value"": 0.0157, ""fold_change"": 4.12}",554,211
ChIP-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 7.9, ""time"": ""21h""}","{""measurement"": 85.88, ""p_value"": 0.0186, ""fold_change"": 1.5}",656,161
RNA-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 7.1, ""time"": ""3h""}","{""measurement"": 15.28, ""p_value"": 0.0285, ""fold_change"": -3.76}",939,287
Metabolomics,"{""temperature"": ""23\u00b0C"", ""ph"": 6.2, ""time"": ""41h""}","{""measurement"": 16.73, ""p_value"": 0.0492, ""fold_change"": -0.94}",387,260
WGS,"{""temperature"": ""22\u00b0C"", ""ph"": 7.7, ""time"": ""37h""}","{""measurement"": 51.56, ""p_value"": 0.0164, ""fold_change"": -4.29}",433,33
ChIP-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 7.9, ""time"": ""8h""}","{""measurement"": 87.03, ""p_value"": 0.0375, ""fold_change"": 2.43}",193,191
RNA-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 6.9, ""time"": ""3h""}","{""measurement"": 20.62, ""p_value"": 0.0385, ""fold_change"": -3.07}",613,191
Microarray,"{""temperature"": ""21\u00b0C"", ""ph"": 7.4, ""time"": ""32h""}","{""measurement"": 95.49, ""p_value"": 0.0035, ""fold_change"": 2.16}",795,280
WES,"{""temperature"": ""32\u00b0C"", ""ph"": 7.1, ""time"": ""14h""}","{""measurement"": 78.94, ""p_value"": 0.0177, ""fold_change"": -1.12}",248,498
ChIP-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 7.5, ""time"": ""42h""}","{""measurement"": 88.08, ""p_value"": 0.0472, ""fold_change"": -0.06}",52,35
Proteomics,"{""temperature"": ""26\u00b0C"", ""ph"": 6.8, ""time"": ""27h""}","{""measurement"": 26.19, ""p_value"": 0.0488, ""fold_change"": 3.49}",184,115
WGS,"{""temperature"": ""23\u00b0C"", ""ph"": 6.0, ""time"": ""14h""}","{""measurement"": 87.53, ""p_value"": 0.0379, ""fold_change"": -4.28}",377,157
WGS,"{""temperature"": ""35\u00b0C"", ""ph"": 7.6, ""time"": ""48h""}","{""measurement"": 98.26, ""p_value"": 0.0366, ""fold_change"": 1.9}",488,19
Microarray,"{""temperature"": ""29\u00b0C"", ""ph"": 6.6, ""time"": ""4h""}","{""measurement"": 93.94, ""p_value"": 0.0423, ""fold_change"": -2.3}",401,164
Proteomics,"{""temperature"": ""23\u00b0C"", ""ph"": 6.0, ""time"": ""7h""}","{""measurement"": 33.13, ""p_value"": 0.0228, ""fold_change"": 4.15}",269,46
Proteomics,"{""temperature"": ""25\u00b0C"", ""ph"": 6.2, ""time"": ""43h""}","{""measurement"": 6.86, ""p_value"": 0.0148, ""fold_change"": 2.71}",715,18
Microarray,"{""temperature"": ""33\u00b0C"", ""ph"": 7.2, ""time"": ""23h""}","{""measurement"": 58.01, ""p_value"": 0.0299, ""fold_change"": 4.34}",136,50
WES,"{""temperature"": ""24\u00b0C"", ""ph"": 6.9, ""time"": ""20h""}","{""measurement"": 49.08, ""p_value"": 0.04, ""fold_change"": -2.39}",52,238
Metabolomics,"{""temperature"": ""37\u00b0C"", ""ph"": 7.5, ""time"": ""28h""}","{""measurement"": 53.77, ""p_value"": 0.0026, ""fold_change"": 0.32}",194,24
WES,"{""temperature"": ""27\u00b0C"", ""ph"": 6.8, ""time"": ""13h""}","{""measurement"": 17.57, ""p_value"": 0.0053, ""fold_change"": 0.04}",872,407
WGS,"{""temperature"": ""22\u00b0C"", ""ph"": 8.0, ""time"": ""39h""}","{""measurement"": 71.07, ""p_value"": 0.0329, ""fold_change"": -1.88}",121,374
Metabolomics,"{""temperature"": ""28\u00b0C"", ""ph"": 7.7, ""time"": ""31h""}","{""measurement"": 66.29, ""p_value"": 0.0144, ""fold_change"": 1.94}",612,237
ChIP-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 8.0, ""time"": ""20h""}","{""measurement"": 72.39, ""p_value"": 0.0323, ""fold_change"": 2.96}",799,413
Proteomics,"{""temperature"": ""25\u00b0C"", ""ph"": 7.2, ""time"": ""29h""}","{""measurement"": 27.14, ""p_value"": 0.0091, ""fold_change"": 4.99}",230,158
WGS,"{""temperature"": ""22\u00b0C"", ""ph"": 7.4, ""time"": ""19h""}","{""measurement"": 69.54, ""p_value"": 0.0459, ""fold_change"": 0.04}",37,96
WES,"{""temperature"": ""24\u00b0C"", ""ph"": 7.1, ""time"": ""40h""}","{""measurement"": 44.15, ""p_value"": 0.0116, ""fold_change"": -3.83}",942,98
ChIP-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 6.3, ""time"": ""23h""}","{""measurement"": 6.44, ""p_value"": 0.0029, ""fold_change"": -2.27}",382,408
ATAC-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 7.6, ""time"": ""44h""}","{""measurement"": 11.43, ""p_value"": 0.0247, ""fold_change"": 4.63}",846,382
Microarray,"{""temperature"": ""20\u00b0C"", ""ph"": 6.1, ""time"": ""46h""}","{""measurement"": 10.85, ""p_value"": 0.0332, ""fold_change"": -3.33}",510,157
WES,"{""temperature"": ""29\u00b0C"", ""ph"": 6.1, ""time"": ""10h""}","{""measurement"": 90.95, ""p_value"": 0.0199, ""fold_change"": -0.83}",560,359
WGS,"{""temperature"": ""31\u00b0C"", ""ph"": 6.6, ""time"": ""4h""}","{""measurement"": 28.15, ""p_value"": 0.0473, ""fold_change"": 3.66}",965,184
Metabolomics,"{""temperature"": ""32\u00b0C"", ""ph"": 6.5, ""time"": ""44h""}","{""measurement"": 25.33, ""p_value"": 0.0076, ""fold_change"": 3.6}",426,487
WGS,"{""temperature"": ""24\u00b0C"", ""ph"": 6.4, ""time"": ""16h""}","{""measurement"": 98.02, ""p_value"": 0.0179, ""fold_change"": -0.3}",900,65
Metabolomics,"{""temperature"": ""31\u00b0C"", ""ph"": 7.0, ""time"": ""12h""}","{""measurement"": 78.13, ""p_value"": 0.0355, ""fold_change"": -2.74}",719,470
WGS,"{""temperature"": ""35\u00b0C"", ""ph"": 6.0, ""time"": ""29h""}","{""measurement"": 98.36, ""p_value"": 0.0301, ""fold_change"": -3.05}",916,268
Proteomics,"{""temperature"": ""34\u00b0C"", ""ph"": 7.9, ""time"": ""5h""}","{""measurement"": 41.93, ""p_value"": 0.0407, ""fold_change"": -4.44}",348,1
Metabolomics,"{""temperature"": ""34\u00b0C"", ""ph"": 6.5, ""time"": ""46h""}","{""measurement"": 31.8, ""p_value"": 0.038, ""fold_change"": -2.78}",21,131
Proteomics,"{""temperature"": ""37\u00b0C"", ""ph"": 7.3, ""time"": ""5h""}","{""measurement"": 74.97, ""p_value"": 0.0066, ""fold_change"": 3.55}",510,207
RNA-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 6.7, ""time"": ""37h""}","{""measurement"": 70.66, ""p_value"": 0.0444, ""fold_change"": 4.07}",670,177
WGS,"{""temperature"": ""22\u00b0C"", ""ph"": 7.7, ""time"": ""22h""}","{""measurement"": 39.66, ""p_value"": 0.0161, ""fold_change"": 4.09}",302,96
WES,"{""temperature"": ""24\u00b0C"", ""ph"": 7.0, ""time"": ""29h""}","{""measurement"": 33.78, ""p_value"": 0.0471, ""fold_change"": 3.83}",220,384
ATAC-Seq,"{""temperature"": ""22\u00b0C"", ""ph"": 6.0, ""time"": ""3h""}","{""measurement"": 6.38, ""p_value"": 0.0429, ""fold_change"": -1.05}",788,40
WES,"{""temperature"": ""20\u00b0C"", ""ph"": 6.6, ""time"": ""48h""}","{""measurement"": 75.52, ""p_value"": 0.0369, ""fold_change"": -4.23}",744,456
Proteomics,"{""temperature"": ""25\u00b0C"", ""ph"": 6.5, ""time"": ""20h""}","{""measurement"": 61.38, ""p_value"": 0.0107, ""fold_change"": 4.58}",167,68
WES,"{""temperature"": ""27\u00b0C"", ""ph"": 6.4, ""time"": ""8h""}","{""measurement"": 51.54, ""p_value"": 0.0482, ""fold_change"": -0.71}",249,170
WES,"{""temperature"": ""35\u00b0C"", ""ph"": 6.5, ""time"": ""5h""}","{""measurement"": 27.11, ""p_value"": 0.0031, ""fold_change"": -4.71}",304,204
ChIP-Seq,"{""temperature"": ""22\u00b0C"", ""ph"": 6.1, ""time"": ""31h""}","{""measurement"": 67.63, ""p_value"": 0.0296, ""fold_change"": 4.08}",973,461
Proteomics,"{""temperature"": ""32\u00b0C"", ""ph"": 6.1, ""time"": ""29h""}","{""measurement"": 52.14, ""p_value"": 0.0345, ""fold_change"": 1.87}",765,226
WGS,"{""temperature"": ""26\u00b0C"", ""ph"": 6.0, ""time"": ""13h""}","{""measurement"": 24.53, ""p_value"": 0.0202, ""fold_change"": -1.46}",52,212
Microarray,"{""temperature"": ""29\u00b0C"", ""ph"": 6.5, ""time"": ""3h""}","{""measurement"": 24.62, ""p_value"": 0.0134, ""fold_change"": 1.51}",60,401
Microarray,"{""temperature"": ""32\u00b0C"", ""ph"": 7.4, ""time"": ""22h""}","{""measurement"": 50.98, ""p_value"": 0.002, ""fold_change"": -4.81}",912,352
WGS,"{""temperature"": ""28\u00b0C"", ""ph"": 7.1, ""time"": ""9h""}","{""measurement"": 56.05, ""p_value"": 0.0151, ""fold_change"": -4.91}",256,367
Metabolomics,"{""temperature"": ""26\u00b0C"", ""ph"": 7.0, ""time"": ""48h""}","{""measurement"": 88.69, ""p_value"": 0.0322, ""fold_change"": -4.39}",997,374
Microarray,"{""temperature"": ""37\u00b0C"", ""ph"": 7.2, ""time"": ""39h""}","{""measurement"": 26.86, ""p_value"": 0.0229, ""fold_change"": 0.25}",814,323
Proteomics,"{""temperature"": ""35\u00b0C"", ""ph"": 6.1, ""time"": ""20h""}","{""measurement"": 51.04, ""p_value"": 0.0404, ""fold_change"": -3.8}",12,181
RNA-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 6.3, ""time"": ""28h""}","{""measurement"": 16.36, ""p_value"": 0.0149, ""fold_change"": 0.44}",986,351
RNA-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 7.6, ""time"": ""47h""}","{""measurement"": 59.64, ""p_value"": 0.0149, ""fold_change"": 1.1}",230,485
RNA-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 6.4, ""time"": ""5h""}","{""measurement"": 59.86, ""p_value"": 0.006, ""fold_change"": 4.43}",614,90
Microarray,"{""temperature"": ""24\u00b0C"", ""ph"": 6.6, ""time"": ""20h""}","{""measurement"": 62.92, ""p_value"": 0.0404, ""fold_change"": -2.99}",573,221
WES,"{""temperature"": ""35\u00b0C"", ""ph"": 6.5, ""time"": ""45h""}","{""measurement"": 91.37, ""p_value"": 0.0016, ""fold_change"": 0.68}",12,77
ATAC-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 6.1, ""time"": ""7h""}","{""measurement"": 91.13, ""p_value"": 0.0205, ""fold_change"": -4.27}",973,149
ATAC-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 7.3, ""time"": ""25h""}","{""measurement"": 43.25, ""p_value"": 0.0396, ""fold_change"": 1.97}",114,412
ChIP-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 7.0, ""time"": ""24h""}","{""measurement"": 46.71, ""p_value"": 0.0394, ""fold_change"": -0.81}",988,134
WGS,"{""temperature"": ""26\u00b0C"", ""ph"": 6.1, ""time"": ""43h""}","{""measurement"": 90.46, ""p_value"": 0.0211, ""fold_change"": 4.99}",427,200
WES,"{""temperature"": ""35\u00b0C"", ""ph"": 7.0, ""time"": ""4h""}","{""measurement"": 93.42, ""p_value"": 0.0311, ""fold_change"": 1.61}",983,204
RNA-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 7.8, ""time"": ""4h""}","{""measurement"": 86.72, ""p_value"": 0.0044, ""fold_change"": 0.31}",324,292
RNA-Seq,"{""temperature"": ""22\u00b0C"", ""ph"": 6.4, ""time"": ""34h""}","{""measurement"": 50.38, ""p_value"": 0.0259, ""fold_change"": 1.81}",202,91
RNA-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 6.2, ""time"": ""34h""}","{""measurement"": 44.76, ""p_value"": 0.0209, ""fold_change"": 4.84}",41,1
WES,"{""temperature"": ""32\u00b0C"", ""ph"": 7.7, ""time"": ""45h""}","{""measurement"": 49.93, ""p_value"": 0.0075, ""fold_change"": 4.54}",318,223
WGS,"{""temperature"": ""30\u00b0C"", ""ph"": 7.7, ""time"": ""47h""}","{""measurement"": 85.09, ""p_value"": 0.0162, ""fold_change"": -1.81}",379,138
Metabolomics,"{""temperature"": ""20\u00b0C"", ""ph"": 6.9, ""time"": ""16h""}","{""measurement"": 0.18, ""p_value"": 0.0442, ""fold_change"": -2.8}",803,193
WGS,"{""temperature"": ""23\u00b0C"", ""ph"": 6.3, ""time"": ""8h""}","{""measurement"": 47.65, ""p_value"": 0.0431, ""fold_change"": -2.86}",84,183
Metabolomics,"{""temperature"": ""36\u00b0C"", ""ph"": 7.0, ""time"": ""45h""}","{""measurement"": 55.51, ""p_value"": 0.0164, ""fold_change"": -4.97}",313,416
Microarray,"{""temperature"": ""34\u00b0C"", ""ph"": 6.5, ""time"": ""44h""}","{""measurement"": 62.36, ""p_value"": 0.0315, ""fold_change"": -2.51}",846,246
ChIP-Seq,"{""temperature"": ""30\u00b0C"", ""ph"": 7.3, ""time"": ""38h""}","{""measurement"": 47.2, ""p_value"": 0.002, ""fold_change"": 0.76}",235,278
Metabolomics,"{""temperature"": ""21\u00b0C"", ""ph"": 7.0, ""time"": ""24h""}","{""measurement"": 0.68, ""p_value"": 0.0316, ""fold_change"": 4.79}",670,140
ChIP-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 7.9, ""time"": ""25h""}","{""measurement"": 79.6, ""p_value"": 0.0474, ""fold_change"": -2.85}",247,203
Proteomics,"{""temperature"": ""37\u00b0C"", ""ph"": 7.8, ""time"": ""40h""}","{""measurement"": 38.62, ""p_value"": 0.0258, ""fold_change"": -1.44}",334,94
Proteomics,"{""temperature"": ""37\u00b0C"", ""ph"": 7.8, ""time"": ""14h""}","{""measurement"": 8.01, ""p_value"": 0.0143, ""fold_change"": 0.1}",156,6
WES,"{""temperature"": ""31\u00b0C"", ""ph"": 7.6, ""time"": ""26h""}","{""measurement"": 42.07, ""p_value"": 0.0012, ""fold_change"": 1.67}",126,305
ATAC-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 7.3, ""time"": ""42h""}","{""measurement"": 96.1, ""p_value"": 0.0317, ""fold_change"": -2.32}",875,499
ATAC-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 7.2, ""time"": ""6h""}","{""measurement"": 71.85, ""p_value"": 0.0162, ""fold_change"": 1.74}",44,163
WGS,"{""temperature"": ""23\u00b0C"", ""ph"": 7.1, ""time"": ""3h""}","{""measurement"": 78.33, ""p_value"": 0.045, ""fold_change"": -3.92}",639,157
Metabolomics,"{""temperature"": ""26\u00b0C"", ""ph"": 8.0, ""time"": ""32h""}","{""measurement"": 20.41, ""p_value"": 0.0496, ""fold_change"": -1.77}",798,224
Proteomics,"{""temperature"": ""25\u00b0C"", ""ph"": 7.5, ""time"": ""33h""}","{""measurement"": 92.06, ""p_value"": 0.0298, ""fold_change"": 2.31}",844,8
ATAC-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 7.3, ""time"": ""37h""}","{""measurement"": 34.16, ""p_value"": 0.0301, ""fold_change"": -1.86}",693,271
WES,"{""temperature"": ""20\u00b0C"", ""ph"": 6.3, ""time"": ""35h""}","{""measurement"": 14.51, ""p_value"": 0.0176, ""fold_change"": -1.65}",956,361
Microarray,"{""temperature"": ""32\u00b0C"", ""ph"": 7.5, ""time"": ""10h""}","{""measurement"": 16.63, ""p_value"": 0.0138, ""fold_change"": -0.22}",931,490
Microarray,"{""temperature"": ""24\u00b0C"", ""ph"": 6.9, ""time"": ""28h""}","{""measurement"": 90.75, ""p_value"": 0.0314, ""fold_change"": -1.48}",506,82
ChIP-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 7.3, ""time"": ""36h""}","{""measurement"": 72.13, ""p_value"": 0.0078, ""fold_change"": 1.42}",268,495
RNA-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 6.3, ""time"": ""6h""}","{""measurement"": 30.81, ""p_value"": 0.0063, ""fold_change"": -1.24}",809,68
WES,"{""temperature"": ""35\u00b0C"", ""ph"": 6.6, ""time"": ""36h""}","{""measurement"": 50.58, ""p_value"": 0.0141, ""fold_change"": 0.9}",848,270
Metabolomics,"{""temperature"": ""28\u00b0C"", ""ph"": 7.5, ""time"": ""8h""}","{""measurement"": 88.79, ""p_value"": 0.0462, ""fold_change"": -2.74}",16,229
WES,"{""temperature"": ""23\u00b0C"", ""ph"": 7.2, ""time"": ""23h""}","{""measurement"": 32.85, ""p_value"": 0.005, ""fold_change"": -1.05}",962,345
WGS,"{""temperature"": ""28\u00b0C"", ""ph"": 7.5, ""time"": ""27h""}","{""measurement"": 99.32, ""p_value"": 0.0016, ""fold_change"": 3.58}",88,156
