title,authors,journal,publication_year,doi
Research on Gene Function 28,"Author0, Author1",Science,2015,10.1234/journal.3798.28
Research on Gene Function 29,"Author0, Author1, Author2, Author3",Science,2016,10.1234/journal.2721.29
Research on Gene Function 30,Author0,Genome Research,2022,10.1234/journal.9194.30
Research on Gene Function 31,"Author0, Author1, Author2",Nature,2012,10.1234/journal.7708.31
Research on Gene Function 32,"Author0, Author1, Author2, Author3",Genome Research,2016,10.1234/journal.3217.32
Research on Gene Function 33,"Author0, Author1",Cell,2023,10.1234/journal.3222.33
Research on Gene Function 34,"Author0, Author1, Author2",Cell,2019,10.1234/journal.5880.34
Research on Gene Function 35,"Author0, Author1",Science,2011,10.1234/journal.2178.35
Research on Gene Function 36,"Author0, Author1, Author2",Nucleic Acids Research,2023,10.1234/journal.6450.36
Research on Gene Function 37,"Author0, Author1, Author2",Nature,2022,10.1234/journal.8291.37
Research on Gene Function 38,Author0,Nature,2023,10.1234/journal.7582.38
Research on Gene Function 39,"Author0, Author1",Genome Research,2021,10.1234/journal.7599.39
Research on Gene Function 40,"Author0, Author1, Author2, Author3, Author4",Science,2013,10.1234/journal.8463.40
Research on Gene Function 41,"Author0, Author1, Author2, Author3, Author4",Genome Research,2024,10.1234/journal.3444.41
Research on Gene Function 42,"Author0, Author1, Author2, Author3",Bioinformatics,2013,10.1234/journal.4434.42
Research on Gene Function 43,"Author0, Author1, Author2",Cell,2016,10.1234/journal.1951.43
Research on Gene Function 44,Author0,Genome Research,2018,10.1234/journal.7093.44
Research on Gene Function 45,"Author0, Author1, Author2, Author3",Nucleic Acids Research,2018,10.1234/journal.2745.45
Research on Gene Function 46,"Author0, Author1, Author2, Author3, Author4",Nucleic Acids Research,2017,10.1234/journal.5301.46
Research on Gene Function 47,"Author0, Author1",Cell,2019,10.1234/journal.9824.47
Research on Gene Function 48,"Author0, Author1, Author2, Author3, Author4",PLOS ONE,2023,10.1234/journal.5644.48
Research on Gene Function 49,Author0,Cell,2011,10.1234/journal.6992.49
Research on Gene Function 50,Author0,Cell,2018,10.1234/journal.9085.50
Research on Gene Function 51,Author0,BMC Genomics,2011,10.1234/journal.3698.51
Research on Gene Function 52,Author0,Nucleic Acids Research,2010,10.1234/journal.5605.52
Research on Gene Function 53,"Author0, Author1, Author2, Author3, Author4",Cell,2022,10.1234/journal.4781.53
Research on Gene Function 54,Author0,Bioinformatics,2013,10.1234/journal.7226.54
Research on Gene Function 55,Author0,Nucleic Acids Research,2024,10.1234/journal.6339.55
Research on Gene Function 56,"Author0, Author1, Author2",BMC Genomics,2017,10.1234/journal.8810.56
Research on Gene Function 57,"Author0, Author1",Bioinformatics,2024,10.1234/journal.2494.57
Research on Gene Function 58,"Author0, Author1",Nature,2019,10.1234/journal.2935.58
Research on Gene Function 59,"Author0, Author1",Genome Research,2012,10.1234/journal.2278.59
Research on Gene Function 60,"Author0, Author1, Author2",Cell,2020,10.1234/journal.1585.60
Research on Gene Function 61,"Author0, Author1",Genome Research,2022,10.1234/journal.8579.61
Research on Gene Function 62,"Author0, Author1, Author2",Bioinformatics,2020,10.1234/journal.5660.62
Research on Gene Function 63,"Author0, Author1, Author2, Author3",Science,2020,10.1234/journal.5653.63
Research on Gene Function 64,"Author0, Author1, Author2, Author3",Bioinformatics,2015,10.1234/journal.9937.64
Research on Gene Function 65,"Author0, Author1, Author2",PLOS ONE,2012,10.1234/journal.7865.65
Research on Gene Function 66,"Author0, Author1",PLOS ONE,2017,10.1234/journal.2290.66
Research on Gene Function 67,Author0,BMC Genomics,2013,10.1234/journal.4360.67
Research on Gene Function 68,"Author0, Author1, Author2, Author3",Genome Research,2014,10.1234/journal.3711.68
Research on Gene Function 69,"Author0, Author1, Author2, Author3, Author4",Science,2024,10.1234/journal.6818.69
Research on Gene Function 70,"Author0, Author1, Author2",Genome Research,2014,10.1234/journal.3570.70
Research on Gene Function 71,"Author0, Author1",PLOS ONE,2022,10.1234/journal.1153.71
Research on Gene Function 72,"Author0, Author1, Author2",Nature,2020,10.1234/journal.3991.72
Research on Gene Function 73,"Author0, Author1, Author2, Author3, Author4",Nucleic Acids Research,2015,10.1234/journal.9042.73
Research on Gene Function 74,"Author0, Author1, Author2, Author3",PLOS ONE,2023,10.1234/journal.4397.74
Research on Gene Function 75,"Author0, Author1",Genome Research,2023,10.1234/journal.3625.75
Research on Gene Function 76,"Author0, Author1",Bioinformatics,2013,10.1234/journal.8895.76
Research on Gene Function 77,Author0,Nucleic Acids Research,2018,10.1234/journal.3605.77
Research on Gene Function 78,"Author0, Author1",Genome Research,2020,10.1234/journal.8067.78
Research on Gene Function 79,"Author0, Author1",Cell,2014,10.1234/journal.9682.79
Research on Gene Function 80,"Author0, Author1",PLOS ONE,2020,10.1234/journal.1684.80
Research on Gene Function 81,"Author0, Author1, Author2",Genome Research,2011,10.1234/journal.9596.81
Research on Gene Function 82,"Author0, Author1, Author2, Author3",Science,2018,10.1234/journal.8814.82
Research on Gene Function 83,"Author0, Author1, Author2, Author3, Author4",Science,2013,10.1234/journal.6378.83
Research on Gene Function 84,"Author0, Author1",Genome Research,2024,10.1234/journal.3975.84
Research on Gene Function 85,"Author0, Author1",Nature,2010,10.1234/journal.5353.85
Research on Gene Function 86,"Author0, Author1, Author2, Author3",BMC Genomics,2013,10.1234/journal.1041.86
Research on Gene Function 87,Author0,PLOS ONE,2013,10.1234/journal.4371.87
Research on Gene Function 88,"Author0, Author1",Cell,2012,10.1234/journal.1514.88
Research on Gene Function 89,Author0,Cell,2011,10.1234/journal.5246.89
Research on Gene Function 90,"Author0, Author1, Author2, Author3",Science,2019,10.1234/journal.1578.90
Research on Gene Function 91,Author0,Cell,2020,10.1234/journal.5917.91
Research on Gene Function 92,"Author0, Author1",Nucleic Acids Research,2011,10.1234/journal.3534.92
Research on Gene Function 93,"Author0, Author1, Author2, Author3",Genome Research,2010,10.1234/journal.9900.93
Research on Gene Function 94,"Author0, Author1, Author2",Nature,2015,10.1234/journal.4247.94
Research on Gene Function 95,Author0,BMC Genomics,2013,10.1234/journal.2053.95
Research on Gene Function 96,"Author0, Author1",Nucleic Acids Research,2019,10.1234/journal.2009.96
Research on Gene Function 97,"Author0, Author1, Author2, Author3",Nature,2018,10.1234/journal.9237.97
Research on Gene Function 98,"Author0, Author1, Author2",BMC Genomics,2012,10.1234/journal.3374.98
Research on Gene Function 99,"Author0, Author1, Author2, Author3, Author4",Nature,2023,10.1234/journal.1785.99
Research on Gene Function 100,"Author0, Author1, Author2, Author3, Author4",Genome Research,2019,10.1234/journal.2092.100
Research on Gene Function 101,"Author0, Author1, Author2, Author3",Cell,2010,10.1234/journal.4988.101
Research on Gene Function 102,"Author0, Author1",PLOS ONE,2019,10.1234/journal.1708.102
Research on Gene Function 103,"Author0, Author1, Author2, Author3, Author4",BMC Genomics,2024,10.1234/journal.7390.103
Research on Gene Function 104,"Author0, Author1, Author2",Cell,2016,10.1234/journal.8800.104
Research on Gene Function 105,Author0,BMC Genomics,2013,10.1234/journal.4872.105
Research on Gene Function 106,"Author0, Author1, Author2, Author3",PLOS ONE,2014,10.1234/journal.5356.106
Research on Gene Function 107,"Author0, Author1",Cell,2010,10.1234/journal.8577.107
Research on Gene Function 108,"Author0, Author1",Cell,2021,10.1234/journal.3534.108
Research on Gene Function 109,"Author0, Author1",Cell,2021,10.1234/journal.7907.109
Research on Gene Function 110,Author0,BMC Genomics,2017,10.1234/journal.7692.110
Research on Gene Function 111,"Author0, Author1, Author2, Author3, Author4",Bioinformatics,2023,10.1234/journal.9384.111
Research on Gene Function 112,Author0,Nature,2015,10.1234/journal.4135.112
Research on Gene Function 113,"Author0, Author1",BMC Genomics,2024,10.1234/journal.6404.113
Research on Gene Function 114,"Author0, Author1",Nature,2015,10.1234/journal.3497.114
Research on Gene Function 115,Author0,Bioinformatics,2013,10.1234/journal.8922.115
Research on Gene Function 116,"Author0, Author1, Author2, Author3, Author4",Science,2023,10.1234/journal.8555.116
Research on Gene Function 117,"Author0, Author1, Author2",PLOS ONE,2012,10.1234/journal.6083.117
Research on Gene Function 118,"Author0, Author1, Author2",Bioinformatics,2014,10.1234/journal.8084.118
Research on Gene Function 119,"Author0, Author1, Author2, Author3, Author4",BMC Genomics,2020,10.1234/journal.9676.119
Research on Gene Function 120,"Author0, Author1",Cell,2014,10.1234/journal.2809.120
Research on Gene Function 121,"Author0, Author1",Bioinformatics,2020,10.1234/journal.6294.121
Research on Gene Function 122,"Author0, Author1, Author2, Author3",BMC Genomics,2023,10.1234/journal.3719.122
Research on Gene Function 123,"Author0, Author1",PLOS ONE,2010,10.1234/journal.8662.123
Research on Gene Function 124,"Author0, Author1, Author2",Cell,2021,10.1234/journal.9075.124
Research on Gene Function 125,"Author0, Author1",Nature,2012,10.1234/journal.3597.125
Research on Gene Function 126,"Author0, Author1, Author2",Nature,2021,10.1234/journal.3198.126
Research on Gene Function 127,"Author0, Author1",Science,2017,10.1234/journal.8450.127
Research on Gene Function 128,"Author0, Author1, Author2",BMC Genomics,2022,10.1234/journal.8430.128
Research on Gene Function 129,"Author0, Author1, Author2",Science,2024,10.1234/journal.3521.129
Research on Gene Function 130,"Author0, Author1, Author2, Author3, Author4",Science,2014,10.1234/journal.9312.130
Research on Gene Function 131,Author0,Bioinformatics,2017,10.1234/journal.5397.131
Research on Gene Function 132,"Author0, Author1, Author2, Author3, Author4",Nucleic Acids Research,2011,10.1234/journal.9687.132
Research on Gene Function 133,"Author0, Author1, Author2",BMC Genomics,2011,10.1234/journal.7777.133
Research on Gene Function 134,"Author0, Author1, Author2, Author3",PLOS ONE,2020,10.1234/journal.7432.134
Research on Gene Function 135,"Author0, Author1, Author2",Cell,2011,10.1234/journal.9315.135
Research on Gene Function 136,"Author0, Author1, Author2, Author3",Bioinformatics,2015,10.1234/journal.6125.136
Research on Gene Function 137,Author0,Genome Research,2011,10.1234/journal.5264.137
Research on Gene Function 138,"Author0, Author1, Author2, Author3, Author4",Science,2015,10.1234/journal.5111.138
Research on Gene Function 139,"Author0, Author1, Author2, Author3",Cell,2011,10.1234/journal.8767.139
Research on Gene Function 140,"Author0, Author1",Bioinformatics,2023,10.1234/journal.9130.140
Research on Gene Function 141,Author0,Nature,2017,10.1234/journal.6589.141
Research on Gene Function 142,"Author0, Author1, Author2, Author3",BMC Genomics,2012,10.1234/journal.1376.142
Research on Gene Function 143,Author0,Genome Research,2019,10.1234/journal.1506.143
Research on Gene Function 144,"Author0, Author1, Author2, Author3",Cell,2015,10.1234/journal.1992.144
Research on Gene Function 145,Author0,BMC Genomics,2022,10.1234/journal.6231.145
Research on Gene Function 146,"Author0, Author1",Nucleic Acids Research,2012,10.1234/journal.3017.146
Research on Gene Function 147,"Author0, Author1, Author2, Author3, Author4",Science,2010,10.1234/journal.7175.147
Research on Gene Function 148,"Author0, Author1, Author2, Author3, Author4",Genome Research,2010,10.1234/journal.4993.148
Research on Gene Function 149,Author0,Nucleic Acids Research,2014,10.1234/journal.7287.149
Research on Gene Function 150,Author0,Bioinformatics,2022,10.1234/journal.6884.150
Research on Gene Function 151,"Author0, Author1, Author2, Author3",Genome Research,2016,10.1234/journal.7061.151
Research on Gene Function 152,Author0,Nature,2010,10.1234/journal.3982.152
Research on Gene Function 153,"Author0, Author1, Author2",Cell,2012,10.1234/journal.2070.153
Research on Gene Function 154,"Author0, Author1, Author2, Author3, Author4",Nucleic Acids Research,2015,10.1234/journal.3388.154
Research on Gene Function 155,"Author0, Author1, Author2, Author3, Author4",PLOS ONE,2018,10.1234/journal.3097.155
Research on Gene Function 156,Author0,Science,2022,10.1234/journal.2478.156
Research on Gene Function 157,"Author0, Author1, Author2, Author3",Genome Research,2017,10.1234/journal.6664.157
Research on Gene Function 158,"Author0, Author1",Science,2022,10.1234/journal.1746.158
Research on Gene Function 159,"Author0, Author1, Author2",Science,2016,10.1234/journal.9773.159
Research on Gene Function 160,Author0,Genome Research,2013,10.1234/journal.5756.160
Research on Gene Function 161,Author0,Nature,2017,10.1234/journal.7591.161
Research on Gene Function 162,"Author0, Author1, Author2, Author3",Nucleic Acids Research,2021,10.1234/journal.7632.162
Research on Gene Function 163,"Author0, Author1, Author2, Author3, Author4",Bioinformatics,2011,10.1234/journal.2409.163
Research on Gene Function 164,"Author0, Author1, Author2, Author3",PLOS ONE,2019,10.1234/journal.3500.164
Research on Gene Function 165,"Author0, Author1, Author2, Author3, Author4",Science,2015,10.1234/journal.2528.165
Research on Gene Function 166,"Author0, Author1, Author2",Genome Research,2011,10.1234/journal.6094.166
Research on Gene Function 167,"Author0, Author1, Author2",Nature,2019,10.1234/journal.9331.167
Research on Gene Function 168,Author0,Nature,2024,10.1234/journal.6037.168
Research on Gene Function 169,Author0,Science,2017,10.1234/journal.4255.169
Research on Gene Function 170,"Author0, Author1, Author2",Nature,2023,10.1234/journal.1917.170
Research on Gene Function 171,"Author0, Author1, Author2, Author3",Cell,2013,10.1234/journal.7452.171
Research on Gene Function 172,Author0,Science,2024,10.1234/journal.4096.172
Research on Gene Function 173,"Author0, Author1, Author2",PLOS ONE,2022,10.1234/journal.2095.173
Research on Gene Function 174,Author0,BMC Genomics,2018,10.1234/journal.1560.174
Research on Gene Function 175,"Author0, Author1, Author2, Author3, Author4",PLOS ONE,2012,10.1234/journal.5689.175
Research on Gene Function 176,"Author0, Author1, Author2, Author3, Author4",Science,2022,10.1234/journal.1560.176
Research on Gene Function 177,"Author0, Author1, Author2, Author3, Author4",Nature,2014,10.1234/journal.8463.177
Research on Gene Function 178,"Author0, Author1",Cell,2023,10.1234/journal.1519.178
Research on Gene Function 179,"Author0, Author1, Author2, Author3",Cell,2015,10.1234/journal.7927.179
Research on Gene Function 180,"Author0, Author1, Author2, Author3",Nature,2010,10.1234/journal.1655.180
Research on Gene Function 181,"Author0, Author1, Author2, Author3, Author4",Science,2020,10.1234/journal.6415.181
Research on Gene Function 182,Author0,Genome Research,2010,10.1234/journal.2059.182
Research on Gene Function 183,"Author0, Author1, Author2, Author3",BMC Genomics,2011,10.1234/journal.2177.183
Research on Gene Function 184,"Author0, Author1",Genome Research,2015,10.1234/journal.2107.184
Research on Gene Function 185,"Author0, Author1, Author2, Author3, Author4",PLOS ONE,2011,10.1234/journal.4818.185
Research on Gene Function 186,"Author0, Author1",PLOS ONE,2023,10.1234/journal.8434.186
Research on Gene Function 187,Author0,Nucleic Acids Research,2022,10.1234/journal.6579.187
Research on Gene Function 188,"Author0, Author1, Author2",Bioinformatics,2013,10.1234/journal.7826.188
Research on Gene Function 189,"Author0, Author1, Author2, Author3, Author4",Science,2012,10.1234/journal.6351.189
Research on Gene Function 190,"Author0, Author1, Author2, Author3",Cell,2019,10.1234/journal.1158.190
Research on Gene Function 191,"Author0, Author1, Author2, Author3, Author4",Genome Research,2020,10.1234/journal.2156.191
Research on Gene Function 192,"Author0, Author1, Author2",Genome Research,2010,10.1234/journal.4842.192
Research on Gene Function 193,Author0,Nature,2024,10.1234/journal.2753.193
Research on Gene Function 194,Author0,Genome Research,2010,10.1234/journal.2929.194
Research on Gene Function 195,"Author0, Author1, Author2",Genome Research,2024,10.1234/journal.5455.195
Research on Gene Function 196,"Author0, Author1",Science,2013,10.1234/journal.8037.196
Research on Gene Function 197,"Author0, Author1, Author2",BMC Genomics,2016,10.1234/journal.2786.197
Research on Gene Function 198,"Author0, Author1, Author2",Nucleic Acids Research,2014,10.1234/journal.6547.198
Research on Gene Function 199,"Author0, Author1, Author2, Author3, Author4",Bioinformatics,2023,10.1234/journal.6644.199
Research on Gene Function 200,"Author0, Author1, Author2, Author3, Author4",Bioinformatics,2014,10.1234/journal.5195.200
Research on Gene Function 201,"Author0, Author1, Author2",BMC Genomics,2011,10.1234/journal.5582.201
Research on Gene Function 202,"Author0, Author1, Author2, Author3, Author4",Science,2021,10.1234/journal.8061.202
Research on Gene Function 203,Author0,Cell,2013,10.1234/journal.7342.203
Research on Gene Function 204,"Author0, Author1, Author2",Genome Research,2013,10.1234/journal.8256.204
Research on Gene Function 205,Author0,Cell,2016,10.1234/journal.2118.205
Research on Gene Function 206,"Author0, Author1, Author2, Author3, Author4",Cell,2018,10.1234/journal.8174.206
Research on Gene Function 207,"Author0, Author1, Author2, Author3, Author4",Cell,2017,10.1234/journal.7247.207
Research on Gene Function 208,"Author0, Author1",Cell,2014,10.1234/journal.9704.208
Research on Gene Function 209,"Author0, Author1, Author2, Author3",Nucleic Acids Research,2015,10.1234/journal.6498.209
Research on Gene Function 210,"Author0, Author1",Science,2011,10.1234/journal.6588.210
Research on Gene Function 211,"Author0, Author1, Author2, Author3, Author4",Science,2010,10.1234/journal.8049.211
Research on Gene Function 212,"Author0, Author1, Author2",BMC Genomics,2020,10.1234/journal.2608.212
Research on Gene Function 213,"Author0, Author1, Author2, Author3",Bioinformatics,2020,10.1234/journal.5350.213
Research on Gene Function 214,"Author0, Author1, Author2, Author3, Author4",Cell,2016,10.1234/journal.9581.214
Research on Gene Function 215,"Author0, Author1, Author2, Author3, Author4",Nature,2017,10.1234/journal.9761.215
Research on Gene Function 216,"Author0, Author1, Author2, Author3, Author4",PLOS ONE,2023,10.1234/journal.1113.216
Research on Gene Function 217,"Author0, Author1, Author2, Author3",Bioinformatics,2014,10.1234/journal.3649.217
Research on Gene Function 218,Author0,Genome Research,2013,10.1234/journal.5562.218
Research on Gene Function 219,"Author0, Author1, Author2, Author3",Genome Research,2022,10.1234/journal.9065.219
Research on Gene Function 220,Author0,Genome Research,2021,10.1234/journal.6270.220
Research on Gene Function 221,"Author0, Author1, Author2, Author3",Nucleic Acids Research,2010,10.1234/journal.6510.221
Research on Gene Function 222,"Author0, Author1",Cell,2012,10.1234/journal.2741.222
Research on Gene Function 223,"Author0, Author1, Author2",Cell,2024,10.1234/journal.1739.223
Research on Gene Function 224,"Author0, Author1",PLOS ONE,2016,10.1234/journal.5611.224
Research on Gene Function 225,"Author0, Author1, Author2, Author3",Bioinformatics,2011,10.1234/journal.7983.225
Research on Gene Function 226,"Author0, Author1, Author2, Author3, Author4",Science,2020,10.1234/journal.3166.226
Research on Gene Function 227,"Author0, Author1, Author2, Author3, Author4",Cell,2016,10.1234/journal.9697.227
Research on Gene Function 228,"Author0, Author1",Nucleic Acids Research,2023,10.1234/journal.9282.228
Research on Gene Function 229,"Author0, Author1, Author2, Author3, Author4",BMC Genomics,2014,10.1234/journal.4338.229
Research on Gene Function 230,"Author0, Author1",Cell,2015,10.1234/journal.2888.230
Research on Gene Function 231,"Author0, Author1",Nature,2024,10.1234/journal.8826.231
Research on Gene Function 232,"Author0, Author1, Author2, Author3, Author4",Cell,2016,10.1234/journal.8402.232
Research on Gene Function 233,"Author0, Author1, Author2, Author3, Author4",Science,2020,10.1234/journal.8591.233
Research on Gene Function 234,"Author0, Author1",Nature,2014,10.1234/journal.2341.234
Research on Gene Function 235,"Author0, Author1, Author2",Science,2014,10.1234/journal.7604.235
Research on Gene Function 236,Author0,Genome Research,2017,10.1234/journal.4458.236
Research on Gene Function 237,"Author0, Author1, Author2",Genome Research,2017,10.1234/journal.7549.237
Research on Gene Function 238,"Author0, Author1, Author2, Author3, Author4",Genome Research,2022,10.1234/journal.8569.238
Research on Gene Function 239,"Author0, Author1, Author2, Author3, Author4",PLOS ONE,2017,10.1234/journal.1849.239
Research on Gene Function 240,"Author0, Author1",Science,2019,10.1234/journal.2018.240
Research on Gene Function 241,"Author0, Author1, Author2, Author3",Nucleic Acids Research,2024,10.1234/journal.1497.241
Research on Gene Function 242,"Author0, Author1, Author2, Author3, Author4",BMC Genomics,2016,10.1234/journal.8991.242
Research on Gene Function 243,"Author0, Author1, Author2",Nature,2015,10.1234/journal.9279.243
Research on Gene Function 244,"Author0, Author1",Nature,2020,10.1234/journal.6661.244
Research on Gene Function 245,"Author0, Author1",Nucleic Acids Research,2017,10.1234/journal.7839.245
Research on Gene Function 246,Author0,Genome Research,2010,10.1234/journal.5221.246
Research on Gene Function 247,"Author0, Author1, Author2, Author3",Bioinformatics,2013,10.1234/journal.5842.247
Research on Gene Function 248,"Author0, Author1, Author2",BMC Genomics,2022,10.1234/journal.2196.248
Research on Gene Function 249,"Author0, Author1, Author2",Bioinformatics,2012,10.1234/journal.4778.249
Research on Gene Function 250,"Author0, Author1, Author2, Author3, Author4",Nature,2015,10.1234/journal.6704.250
Research on Gene Function 251,"Author0, Author1, Author2",Science,2011,10.1234/journal.8985.251
Research on Gene Function 252,Author0,Nucleic Acids Research,2018,10.1234/journal.9791.252
Research on Gene Function 253,"Author0, Author1",Nature,2013,10.1234/journal.4334.253
Research on Gene Function 254,"Author0, Author1",PLOS ONE,2017,10.1234/journal.7655.254
Research on Gene Function 255,"Author0, Author1",Nucleic Acids Research,2016,10.1234/journal.4934.255
Research on Gene Function 256,"Author0, Author1",Genome Research,2015,10.1234/journal.6696.256
Research on Gene Function 257,"Author0, Author1, Author2, Author3",Cell,2017,10.1234/journal.8838.257
Research on Gene Function 258,"Author0, Author1, Author2, Author3",Bioinformatics,2011,10.1234/journal.6601.258
Research on Gene Function 259,"Author0, Author1, Author2",BMC Genomics,2014,10.1234/journal.2667.259
Research on Gene Function 260,Author0,BMC Genomics,2013,10.1234/journal.3533.260
Research on Gene Function 261,"Author0, Author1, Author2, Author3",Science,2017,10.1234/journal.2076.261
Research on Gene Function 262,"Author0, Author1, Author2, Author3, Author4",Science,2024,10.1234/journal.5259.262
Research on Gene Function 263,"Author0, Author1, Author2, Author3",Cell,2023,10.1234/journal.1759.263
Research on Gene Function 264,"Author0, Author1, Author2",PLOS ONE,2022,10.1234/journal.2273.264
Research on Gene Function 265,"Author0, Author1, Author2, Author3",Science,2017,10.1234/journal.6846.265
Research on Gene Function 266,"Author0, Author1, Author2, Author3",Bioinformatics,2013,10.1234/journal.4180.266
Research on Gene Function 267,"Author0, Author1",Cell,2024,10.1234/journal.4575.267
Research on Gene Function 268,Author0,Nucleic Acids Research,2019,10.1234/journal.2426.268
Research on Gene Function 269,Author0,Cell,2022,10.1234/journal.5522.269
Research on Gene Function 270,"Author0, Author1, Author2, Author3",Genome Research,2016,10.1234/journal.5447.270
Research on Gene Function 271,"Author0, Author1, Author2, Author3, Author4",BMC Genomics,2010,10.1234/journal.4779.271
Research on Gene Function 272,Author0,Nature,2017,10.1234/journal.7442.272
Research on Gene Function 273,"Author0, Author1, Author2, Author3, Author4",Cell,2016,10.1234/journal.5345.273
Research on Gene Function 274,Author0,PLOS ONE,2014,10.1234/journal.2915.274
Research on Gene Function 275,Author0,BMC Genomics,2011,10.1234/journal.5488.275
Research on Gene Function 276,"Author0, Author1, Author2, Author3",Nucleic Acids Research,2011,10.1234/journal.4073.276
Research on Gene Function 277,"Author0, Author1, Author2, Author3, Author4",Science,2013,10.1234/journal.4060.277
Research on Gene Function 278,"Author0, Author1, Author2",Science,2021,10.1234/journal.1330.278
Research on Gene Function 279,"Author0, Author1, Author2, Author3",Science,2014,10.1234/journal.8603.279
Research on Gene Function 280,"Author0, Author1, Author2, Author3, Author4",PLOS ONE,2024,10.1234/journal.1616.280
Research on Gene Function 281,Author0,PLOS ONE,2024,10.1234/journal.5802.281
Research on Gene Function 282,"Author0, Author1, Author2, Author3, Author4",Cell,2013,10.1234/journal.4217.282
Research on Gene Function 283,"Author0, Author1, Author2, Author3",Bioinformatics,2012,10.1234/journal.4271.283
Research on Gene Function 284,Author0,Genome Research,2022,10.1234/journal.1931.284
Research on Gene Function 285,"Author0, Author1, Author2, Author3",Nature,2022,10.1234/journal.7478.285
Research on Gene Function 286,Author0,BMC Genomics,2015,10.1234/journal.3099.286
Research on Gene Function 287,"Author0, Author1, Author2, Author3, Author4",Cell,2016,10.1234/journal.1763.287
Research on Gene Function 288,"Author0, Author1, Author2, Author3",PLOS ONE,2012,10.1234/journal.2385.288
Research on Gene Function 289,"Author0, Author1",Cell,2011,10.1234/journal.5386.289
Research on Gene Function 290,Author0,Genome Research,2024,10.1234/journal.1203.290
Research on Gene Function 291,"Author0, Author1, Author2, Author3, Author4",Cell,2016,10.1234/journal.3574.291
Research on Gene Function 292,"Author0, Author1, Author2, Author3",Nucleic Acids Research,2015,10.1234/journal.9953.292
Research on Gene Function 293,"Author0, Author1, Author2",PLOS ONE,2017,10.1234/journal.3816.293
Research on Gene Function 294,"Author0, Author1, Author2, Author3",Nature,2013,10.1234/journal.3163.294
Research on Gene Function 295,"Author0, Author1, Author2, Author3, Author4",Genome Research,2012,10.1234/journal.6800.295
Research on Gene Function 296,"Author0, Author1",Science,2021,10.1234/journal.1673.296
Research on Gene Function 297,"Author0, Author1, Author2, Author3, Author4",PLOS ONE,2016,10.1234/journal.1780.297
Research on Gene Function 298,"Author0, Author1, Author2, Author3",PLOS ONE,2010,10.1234/journal.5772.298
Research on Gene Function 299,"Author0, Author1",Science,2020,10.1234/journal.3804.299
Research on Gene Function 300,"Author0, Author1, Author2",Nucleic Acids Research,2010,10.1234/journal.8624.300
Research on Gene Function 301,"Author0, Author1, Author2, Author3, Author4",PLOS ONE,2014,10.1234/journal.5896.301
Research on Gene Function 302,"Author0, Author1, Author2",Science,2012,10.1234/journal.8819.302
